chr	strand	gene_id	gene_symbol	omega_p2	rate_p2
X	-	ENSG00000000003.14	TSPAN6	0.18003178	0.98094
X	+	ENSG00000000005.5	TNMD	0	1
20	-	ENSG00000000419.12	DPM1	25.987474	0.67764528
1	-	ENSG00000000457.13	SCYL3	6.6809416	0.20887984
1	+	ENSG00000000460.16	C1orf112	2.6088648	0.27049772
1	-	ENSG00000000938.12	FGR	8.1857454	0.21106786
1	+	ENSG00000000971.15	CFH	0.23389192	1
6	-	ENSG00000001036.13	FUCA2	15.847296	0.69800184
6	-	ENSG00000001084.10	GCLC	8.1312516	0.76949514
6	+	ENSG00000001167.14	NFYA	9.3187112	0.13104732
1	-	ENSG00000001460.17	STPG1	0.10322328	0.95238028
1	+	ENSG00000001461.16	NIPAL3	18.140756	0.83033112
X	-	ENSG00000001497.16	LAS1L	22.209018	0.3946752
6	+	ENSG00000001561.6	ENPP4	15.889214	0.6778721
3	+	ENSG00000001617.11	SEMA3F	0.13402696	1
7	+	ENSG00000001626.14	CFTR	0	1
7	+	ENSG00000001629.9	ANKIB1	67.806746	0.60306648
7	-	ENSG00000001630.15	CYP51A1	54.191116	0.73048198
7	-	ENSG00000001631.15	KRIT1	13.091412	0.4284532
12	-	ENSG00000002016.17	RAD52	2.9664972	0.58440324
11	-	ENSG00000002330.13	BAD	12.2592086	0.9325272
4	+	ENSG00000002549.12	LAP3	163.64892	0.89347918
X	+	ENSG00000002586.18	CD99	21.59438	1
4	-	ENSG00000002587.9	HS3ST1	0.47770388	1
7	+	ENSG00000002726.20	AOC1	0.03250805	1
7	+	ENSG00000002745.12	WNT16	0.135701	1
7	+	ENSG00000002746.14	HECW1	0.016184718	1
7	-	ENSG00000002822.15	MAD1L1	28.004634	0.79220366
17	+	ENSG00000002834.17	LASP1	195.65798	0.87636152
17	+	ENSG00000002919.14	SNX11	57.21517	0.8460764
7	+	ENSG00000002933.7	TMEM176A	1.1974512e-06	0.95449512
12	-	ENSG00000003056.7	M6PR	152.26942	0.96514472
X	-	ENSG00000003096.13	KLHL13	0.051465678	0.95090868
2	-	ENSG00000003137.8	CYP26B1	0	1
7	-	ENSG00000003147.17	ICA1	0	0
16	-	ENSG00000003249.13	DBNDD1	2.2161376	1
2	-	ENSG00000003393.14	ALS2	9.589853	0.38648818
2	+	ENSG00000003400.14	CASP10	10.65488	0.72046184
2	+	ENSG00000003402.19	CFLAR	160.95936	0.94740014
2	-	ENSG00000003436.14	TFPI	0.29636144	1
