chr	strand	start	end	gene_id	gene_symbol	omega
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.0339559
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0
20	-	50934867	50958555	ENSG00000000419.12	DPM1	48.2238
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	6.52066
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	3.74529
1	-	27612064	27635277	ENSG00000000938.12	FGR	13.016
1	+	196651878	196747504	ENSG00000000971.15	CFH	0
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	23.6546
6	-	53497341	53616970	ENSG00000001084.10	GCLC	18.5131
6	+	41072945	41099976	ENSG00000001167.14	NFYA	20.9652
1	-	24356999	24416934	ENSG00000001460.17	STPG1	0.81114
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	4.25543
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	41.5542
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	22.4012
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	59.9036
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	91.8406
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	16.5071
12	-	912077	990053	ENSG00000002016.17	RAD52	2.57797
11	-	64269830	64284704	ENSG00000002330.13	BAD	19.9829
4	+	17577192	17607972	ENSG00000002549.12	LAP3	222.385
X	+	2691179	2741309	ENSG00000002586.18	CD99	12.7195
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	0.583997
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.0508423
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.0338949
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	27.305
17	+	38869859	38921770	ENSG00000002834.17	LASP1	204.411
17	+	48103357	48123074	ENSG00000002919.14	SNX11	56.8184
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0
12	-	8940363	8949955	ENSG00000003056.7	M6PR	219.844
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	0
7	-	8113184	8262687	ENSG00000003147.17	ICA1	0.593226
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	4.999
2	-	201700554	201781189	ENSG00000003393.14	ALS2	6.34615
2	+	201182881	201229406	ENSG00000003400.14	CASP10	9.10389
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	151.333
