chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	0.0339559	1	0.635809	-0.00827401
20	-	50934867	50958555	ENSG00000000419.12	DPM1	48.2238	0.916946	-0.26842	-0.12969
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	6.52066	0.214675	0.0105302	-0.011349
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	6.10245	0.866841	-0.368102	-0.494992
1	-	27612064	27635277	ENSG00000000938.12	FGR	50.486	0.310501	-0.789669	-0.161304
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	28.8356	0.838598	-0.25985	-0.0786676
6	-	53497341	53616970	ENSG00000001084.10	GCLC	22.6579	0.957948	-0.44472	-0.0940386
6	+	41072945	41099976	ENSG00000001167.14	NFYA	33.02	0.439219	-0.549087	-0.503093
1	-	24356999	24416934	ENSG00000001460.17	STPG1	3.18112	0.993813	-1.45001	-0.0183061
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	32.4666	0.936747	-0.252676	-0.0517835
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	44.8158	0.667389	-0.304803	-0.223732
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	29.8855	0.891519	-0.27423	-0.117467
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	0.427883	1	-0.482914	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	94.2377	0.775492	-0.142934	-0.107634
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	156.13	0.964213	-0.459506	-0.119139
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	34.8005	0.802441	-0.424392	-0.267869
12	-	912077	990053	ENSG00000002016.17	RAD52	3.53692	0.733832	-0.0761459	-0.0973937
11	-	64269830	64284704	ENSG00000002330.13	BAD	19.9829	0.992924	-0.212059	-0.0269741
4	+	17577192	17607972	ENSG00000002549.12	LAP3	222.385	0.961601	-0.133185	-0.0315698
X	+	2691179	2741309	ENSG00000002586.18	CD99	69.0213	1	-0.504504	0
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	0.583997	1	-0.085628	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.0508423	1	-0.155734	0
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.0338949	1	0.521048	0
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	42.3416	0.820239	-0.179485	-0.0149185
17	+	38869859	38921770	ENSG00000002834.17	LASP1	293.3	0.991584	-0.175807	-0.0530765
17	+	48103357	48123074	ENSG00000002919.14	SNX11	56.8184	0.909324	0.00302166	-0.0309561
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	0.00847371	1	-0.266502	-0.0200213
12	-	8940363	8949955	ENSG00000003056.7	M6PR	277.546	0.965027	-0.260709	5.24314e-05
7	-	8113184	8262687	ENSG00000003147.17	ICA1	0.815152	0.273116	-1.91653	-1.45196
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	6.61014	1	-0.473315	0
2	-	201700554	201781189	ENSG00000003393.14	ALS2	6.34615	0.424214	0.17907	-0.0394736
2	+	201182881	201229406	ENSG00000003400.14	CASP10	13.7981	0.87196	-0.112178	-0.0818514
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	262.951	0.938626	-0.213148	0.00399846
2	-	187464230	187565760	ENSG00000003436.14	TFPI	0.152527	1	0.275309	0
2	+	37231631	37253403	ENSG00000003509.15	NDUFAF7	12.7339	0.818827	-0.168918	-0.112605
3	+	50088908	50119021	ENSG00000003756.16	RBM5	96.8178	0.78108	-0.0904942	-0.109745
8	-	17298030	17413528	ENSG00000003987.13	MTMR7	0.676192	1	0.184288	0
8	+	17497088	17570573	ENSG00000003989.16	SLC7A2	0.101685	1	0.463107	0
7	+	127588345	127591705	ENSG00000004059.10	ARF5	48.2764	0.9682	0.0630796	0.00172547
17	+	28364356	28404049	ENSG00000004139.13	SARM1	8.8663	0.569249	-0.112475	-0.211016
17	-	28347177	28357522	ENSG00000004142.11	POLDIP2	116.752	0.890979	-0.235619	-0.0695426
