chr	strand	start	end	gene_id	gene_symbol
14	+	63204114	63293219	ENSG00000126785.12	RHOJ
14	+	49767608	49786385	ENSG00000165516.10	KLHDC2
14	+	51826195	51979342	ENSG00000186469.8	GNG2
14	+	67241109	67335819	ENSG00000072415.8	MPP5
14	+	64894339	64894713	ENSG00000279654.1	AL135745.1
14	+	61811974	62112550	ENSG00000139973.16	SYT16
14	+	51489100	51730727	ENSG00000139926.15	FRMD6
14	+	61695513	61748259	ENSG00000100644.16	HIF1A
14	+	58427385	58551289	ENSG00000100578.14	KIAA0586
14	+	64549902	64589380	ENSG00000165807.7	PPP1R36
14	+	52730180	52774998	ENSG00000198252.11	STYX
14	+	67189393	67228550	ENSG00000172717.15	FAM71D
14	+	60091911	60169133	ENSG00000126773.12	PCNX4
14	+	64535905	64546173	ENSG00000126803.9	HSPA2
14	+	63852983	64226433	ENSG00000054654.15	SYNE2
14	+	58244831	58272012	ENSG00000100567.12	PSMA3
14	+	59188646	59371405	ENSG00000100592.15	DAAM1
14	+	55051631	55070192	ENSG00000168175.14	MAPK1IP1L
14	+	57268909	57298742	ENSG00000053770.11	AP5M1
14	+	50312326	50335558	ENSG00000125375.14	ATP5S
14	+	55027230	55049488	ENSG00000180008.8	SOCS4
14	+	56117814	56301526	ENSG00000139946.9	PELI2
14	+	66507407	67181803	ENSG00000171723.15	GPHN
14	+	52707172	52728587	ENSG00000100519.11	PSMC6
14	+	54567097	54793315	ENSG00000020577.13	SAMD4A
14	+	54509812	54539309	ENSG00000100532.11	CGRRF1
14	+	59919713	60063559	ENSG00000131951.10	LRRC9
14	+	64986720	65062652	ENSG00000257365.7	FNTB
14	+	65410592	65744121	ENSG00000033170.16	FUT8
14	+	66486354	66498553	ENSG00000196553.14	LINC00238
14	+	64704102	64750247	ENSG00000126822.16	PLEKHG3
14	+	64388031	64463457	ENSG00000100714.15	MTHFD1
14	+	60508951	60512850	ENSG00000184302.6	SIX6
14	+	49893092	49897054	ENSG00000165527.6	ARF6
14	+	55271303	55361918	ENSG00000178974.9	FBXO34
14	+	50872160	50904970	ENSG00000131969.14	ABHD12B
14	+	49620795	49623481	ENSG00000168282.5	MGAT2
14	+	49598697	49614672	ENSG00000165501.16	LRR1
14	+	61529128	61657964	ENSG00000258989.1	RP11-47I22.4
14	+	61762357	61796428	ENSG00000023608.4	SNAPC1
14	+	52553148	52637713	ENSG00000180998.11	GPR137C
14	+	57390544	57415917	ENSG00000139977.13	NAA30
14	+	60245752	60299087	ENSG00000100614.17	PPM1A
14	+	59484443	59505410	ENSG00000050130.17	JKAMP
14	+	56488354	56650606	ENSG00000070269.13	TMEM260
14	+	55559072	55701526	ENSG00000126777.17	KTN1
14	+	58633967	58648321	ENSG00000165617.14	DACT1
14	+	51240162	51257546	ENSG00000139921.12	TMX1
14	+	64914361	64944591	ENSG00000258289.8	CHURC1
14	+	55124110	55145413	ENSG00000131981.15	LGALS3
14	+	52267713	52276724	ENSG00000168229.3	PTGDR
14	+	50532509	50633068	ENSG00000198513.11	ATL1
14	+	54396849	54420218	ENSG00000100526.19	CDKN3
14	+	49693105	49753152	ENSG00000197776.7	KLHDC1
14	+	51989475	52010691	ENSG00000087302.8	C14orf166
14	+	64503712	64533690	ENSG00000126804.13	ZBTB1
14	+	61187559	61550976	ENSG00000027075.13	PRKCH
14	+	64914485	65061803	ENSG00000125954.12	CHURC1-FNTB
14	+	64465499	64474503	ENSG00000179841.8	AKAP5
14	+	58298385	58373887	ENSG00000032219.18	ARID4A
14	+	58200080	58235636	ENSG00000131966.13	ACTR10
14	+	60734742	60969953	ENSG00000020426.10	MNAT1
14	+	60981114	61083733	ENSG00000139974.15	SLC38A6
14	+	58395916	58408701	ENSG00000196860.7	TOMM20L
14	+	52314305	52328606	ENSG00000125384.6	PTGER2
14	-	64746283	64879883	ENSG00000070182.18	SPTB
14	-	57563922	57982194	ENSG00000151812.14	SLC35F4
14	-	53036745	53153282	ENSG00000100523.14	DDHD1
14	-	63371357	63543374	ENSG00000154001.13	PPP2R5E
14	-	50108632	50116600	ENSG00000100483.13	VCPKMT
14	-	65006174	65102695	ENSG00000125952.18	MAX
14	-	52857268	52952435	ENSG00000073712.14	FERMT2
14	-	52639916	52695900	ENSG00000197930.12	ERO1A
14	-	64939152	64942905	ENSG00000176153.11	GPX2
14	-	50329404	50416461	ENSG00000100490.9	CDKL1
14	-	54938950	55027105	ENSG00000198554.11	WDHD1
14	-	49643555	49688422	ENSG00000100479.12	POLE2
14	-	60971451	60981358	ENSG00000126814.6	TRMT5
14	-	60643415	60658259	ENSG00000126778.8	SIX1
14	-	49570984	49599164	ENSG00000213741.8	RPS29
14	-	50237563	50312548	ENSG00000087299.11	L2HGDH
14	-	49782083	49853203	ENSG00000165525.17	NEMF
14	-	67294371	67360265	ENSG00000100554.11	ATP6V1D
14	-	64084232	64338112	ENSG00000140009.18	ESR2
14	-	64449106	64505213	ENSG00000089775.11	ZBTB25
14	-	63684214	63728039	ENSG00000126821.7	SGPP1
14	-	57999735	58298139	ENSG00000139971.15	C14orf37
14	-	57469301	57493867	ENSG00000100557.9	C14orf105
14	-	50719763	50831121	ENSG00000100503.23	NIN
14	-	60709528	60724348	ENSG00000100625.8	SIX4
14	-	54423560	54441431	ENSG00000100528.11	CNIH1
14	-	59595976	59870966	ENSG00000139970.16	RTN1
14	-	59504539	59576831	ENSG00000151838.11	CCDC175
14	-	54474484	54489196	ENSG00000197045.12	GMFB
14	-	58408494	58427614	ENSG00000100575.13	TIMM9
14	-	49618519	49620685	ENSG00000165502.6	RPL36AL
14	-	63597039	63641861	ENSG00000140006.11	WDR89
14	-	55366392	55411858	ENSG00000126775.8	ATG14
14	-	52775194	52791668	ENSG00000100522.8	GNPNAT1
14	-	59429022	59465342	ENSG00000181619.11	GPR135
14	-	52430590	52552522	ENSG00000087301.8	TXNDC16
14	-	57200507	57269008	ENSG00000070367.15	EXOC5
14	-	56799905	56810479	ENSG00000165588.16	OTX2
14	-	50975262	51096061	ENSG00000100505.13	TRIM9
14	-	54842008	54902852	ENSG00000131979.18	GCH1
14	-	52004803	52069228	ENSG00000087303.17	NID2
14	-	64945814	64972776	ENSG00000139998.14	RAB15
14	-	55413541	55456726	ENSG00000182521.5	TBPL2
14	-	50117120	50231558	ENSG00000100485.11	SOS2
14	-	61277370	61281840	ENSG00000182107.6	TMEM30B
14	-	59460363	59484430	ENSG00000126790.11	L3HYPDH
14	-	55148112	55191678	ENSG00000126787.12	DLGAP5
14	-	50857891	50944736	ENSG00000100504.16	PYGL
14	-	60396469	60515543	ENSG00000179008.8	C14orf39
14	-	63312835	63318879	ENSG00000179600.3	GPHB5
14	-	49625174	49635230	ENSG00000165506.14	DNAAF2
14	-	50632058	50668331	ENSG00000151748.14	SAV1
14	-	62699454	63102037	ENSG00000140015.19	KCNH5
14	-	53949736	53958761	ENSG00000125378.15	BMP4
14	-	60144120	60169856	ENSG00000100612.13	DHRS7
14	-	50418501	50561126	ENSG00000012983.11	MAP4K5
