chr	strand	gene_id	gene_symbol	omega_p2	rate_p2
X	-	ENSG00000000003.14	TSPAN6	15.98688	0.92801572
X	+	ENSG00000000005.5	TNMD	0	1
20	-	ENSG00000000419.12	DPM1	21.488896	0.79129416
1	-	ENSG00000000457.13	SCYL3	4.5698868	0.37669692
1	+	ENSG00000000460.16	C1orf112	0.37763708	0.35577064
1	-	ENSG00000000938.12	FGR	0.021166116	1
1	+	ENSG00000000971.15	CFH	23.109228	0.83937488
6	-	ENSG00000001036.13	FUCA2	49.238164	0.81861628
6	-	ENSG00000001084.10	GCLC	8.3817288	0.8576366
6	+	ENSG00000001167.14	NFYA	0.55240376	0.0231496
1	-	ENSG00000001460.17	STPG1	3.1662392	0.90185444
1	+	ENSG00000001461.16	NIPAL3	23.018232	0.92334736
X	-	ENSG00000001497.16	LAS1L	12.758656	0.54132752
6	+	ENSG00000001561.6	ENPP4	0.98979088	0.85716208
3	+	ENSG00000001617.11	SEMA3F	3.7634312	0.64006432
7	+	ENSG00000001626.14	CFTR	0	1
7	+	ENSG00000001629.9	ANKIB1	37.813756	0.5779568
7	-	ENSG00000001630.15	CYP51A1	33.770328	0.8960702
7	-	ENSG00000001631.15	KRIT1	12.7755	0.7026612
12	-	ENSG00000002016.17	RAD52	4.1596852	0.86194932
11	-	ENSG00000002330.13	BAD	23.696768	0.96358624
4	+	ENSG00000002549.12	LAP3	34.009764	0.91683628
X	+	ENSG00000002586.18	CD99	130.07824	1
4	-	ENSG00000002587.9	HS3ST1	0	1
7	+	ENSG00000002726.20	AOC1	0.051862588	1
7	+	ENSG00000002745.12	WNT16	0.037606016	1
7	+	ENSG00000002746.14	HECW1	0.252816	0.04883428
7	-	ENSG00000002822.15	MAD1L1	11.30826	0.75389884
17	+	ENSG00000002834.17	LASP1	246.50472	0.84064016
17	+	ENSG00000002919.14	SNX11	11.281164	0.9249758
7	+	ENSG00000002933.7	TMEM176A	0.15041728	0.93816808
12	-	ENSG00000003056.7	M6PR	69.848316	0.99085744
X	-	ENSG00000003096.13	KLHL13	0.59581516	0.97989328
2	-	ENSG00000003137.8	CYP26B1	0.26678148	0.98615296
7	-	ENSG00000003147.17	ICA1	0	0.99641344
16	-	ENSG00000003249.13	DBNDD1	0.071086552	1
2	-	ENSG00000003393.14	ALS2	13.059776	0.31382984
2	+	ENSG00000003400.14	CASP10	4.3664652	0.87973472
2	+	ENSG00000003402.19	CFLAR	54.414308	0.92979592
2	-	ENSG00000003436.14	TFPI	66.671472	0.95857816
2	+	ENSG00000003509.15	NDUFAF7	3.3693732	0.693772
3	+	ENSG00000003756.16	RBM5	53.293632	0.7097882
8	-	ENSG00000003987.13	MTMR7	1.037292	1
8	+	ENSG00000003989.16	SLC7A2	7.7913836	0.8060944
7	+	ENSG00000004059.10	ARF5	49.486344	0.9730878
17	+	ENSG00000004139.13	SARM1	4.5109504	0.63329084
