chr	strand	start	end	gene_id	gene_symbol
1	+	226870184	226896105	ENSG00000143801.16	PSEN2
1	+	233904933	234324516	ENSG00000183780.12	SLC35F3
1	+	239386565	239915452	ENSG00000133019.11	CHRM3
1	+	231626815	232041272	ENSG00000162946.20	DISC1
1	+	231241207	231277973	ENSG00000116906.11	GNPAT
1	+	228208130	228378874	ENSG00000154358.20	OBSCN
1	+	236795281	236903981	ENSG00000116984.12	MTR
1	+	230978981	231000595	ENSG00000173409.13	ARV1
1	+	237042205	237833988	ENSG00000198626.15	RYR2
1	+	234373456	234384049	ENSG00000168275.14	COA6
1	+	226223618	226227054	ENSG00000185155.11	MIXL1
1	+	231162112	231221556	ENSG00000119283.15	TRIM67
1	+	236686454	236764631	ENSG00000077522.12	ACTN2
1	+	228487061	228495766	ENSG00000168159.10	RNF187
1	+	227563543	227677443	ENSG00000181450.17	ZNF678
1	+	235367360	235448968	ENSG00000116957.12	TBCE
1	+	233614004	233672512	ENSG00000135750.14	KCNK1
1	+	226061851	226072001	ENSG00000163041.9	H3F3A
1	+	226548800	226609214	ENSG00000203685.9	STUM
1	+	228458107	228460470	ENSG00000196890.4	HIST3H2BB
1	+	236518000	236552981	ENSG00000116977.18	LGALS8
1	+	227815693	227846470	ENSG00000185888.5	PRSS38
1	+	226897536	226987545	ENSG00000163050.16	ADCK3
1	+	230057990	230282124	ENSG00000143641.9	GALNT2
1	+	228735077	228746669	ENSG00000116574.5	RHOU
1	+	230642489	230693982	ENSG00000135775.13	COG2
1	+	236348257	236484914	ENSG00000186197.13	EDARADD
1	+	229249636	229251810	ENSG00000177800.2	TMEM78
1	+	230747384	230802003	ENSG00000135773.12	CAPN9
1	+	228165815	228182257	ENSG00000181873.12	IBA57
1	+	232950605	232983882	ENSG00000135778.11	NTPCR
1	+	228139962	228148984	ENSG00000143774.16	GUK1
1	+	229304857	229305504	ENSG00000213029.3	SPHAR
1	+	235327350	235344532	ENSG00000152904.11	GGPS1
1	+	227728539	227781231	ENSG00000143740.14	SNAP47
1	+	228007051	228061260	ENSG00000154342.5	WNT3A
1	+	228149852	228159826	ENSG00000198835.3	GJC2
1	+	231528653	231566524	ENSG00000116918.13	TSNAX
1	+	232804892	232808407	ENSG00000212916.4	MAP10
1	+	229271062	229305894	ENSG00000168118.11	RAB4A
1	+	240014348	240475189	ENSG00000155816.19	FMN2
1	+	233327768	233385148	ENSG00000143674.10	RP5-862P8.2
1	+	231337104	231355023	ENSG00000010072.15	SPRTN
1	+	228082660	228099212	ENSG00000143761.14	ARF1
1	+	229626234	229660199	ENSG00000135763.9	URB2
1	+	236142505	236221865	ENSG00000077585.13	GPR137B
1	-	230906243	230978875	ENSG00000143643.12	TTC13
1	-	228393673	228406840	ENSG00000154370.14	TRIM11
1	-	230837119	230869589	ENSG00000119280.16	C1orf198
1	-	236549005	236604504	ENSG00000119285.10	HEATR1
1	-	229440260	229508341	ENSG00000069248.11	NUP133
1	-	237877864	237890922	ENSG00000116996.9	ZP4
1	-	227730425	227735411	ENSG00000081692.12	JMJD4
1	-	228407940	228416861	ENSG00000162931.11	TRIM17
1	-	236215555	236281985	ENSG00000086619.13	ERO1B
1	-	237943724	237945275	ENSG00000270188.1	MTRNR2L11
1	-	228203506	228213664	ENSG00000162913.9	C1orf145
1	-	235661041	235883640	ENSG00000143669.13	LYST
