chr	strand	start	end	gene_id	gene_symbol	omega
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	20.8123
X	+	100584802	100599885	ENSG00000000005.5	TNMD	0
20	-	50934867	50958555	ENSG00000000419.12	DPM1	21.8121
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	4.1982
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	1.37807
1	-	27612064	27635277	ENSG00000000938.12	FGR	0.0141711
1	+	196651878	196747504	ENSG00000000971.15	CFH	10.4195
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	48.2536
6	-	53497341	53616970	ENSG00000001084.10	GCLC	11.9109
6	+	41072945	41099976	ENSG00000001167.14	NFYA	6.27121
1	-	24356999	24416934	ENSG00000001460.17	STPG1	3.0385
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	27.0303
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	14.8869
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	0.2552
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	3.09441
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.00981537
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	37.6801
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	31.9534
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	12.6048
12	-	912077	990053	ENSG00000002016.17	RAD52	2.93707
11	-	64269830	64284704	ENSG00000002330.13	BAD	27.3458
4	+	17577192	17607972	ENSG00000002549.12	LAP3	38.233
X	+	2691179	2741309	ENSG00000002586.18	CD99	239.608
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	0.0189199
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.0392614
7	+	121325367	121341104	ENSG00000002745.12	WNT16	0.222013
7	+	43112599	43566001	ENSG00000002746.14	HECW1	0
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	11.789
17	+	38869859	38921770	ENSG00000002834.17	LASP1	317.561
17	+	48103357	48123074	ENSG00000002919.14	SNX11	11.3874
