chr	strand	start	end	gene_id	gene_symbol	omega	rate	log10(alpha)	log10(beta)
X	-	100627109	100639991	ENSG00000000003.14	TSPAN6	20.8123	0.966396	-0.114493	-0.0174159
20	-	50934867	50958555	ENSG00000000419.12	DPM1	28.1695	0.939983	-0.117517	-0.0739239
1	-	169849631	169894267	ENSG00000000457.13	SCYL3	7.38699	0.651692	-0.2082	-0.233285
1	+	169662007	169854080	ENSG00000000460.16	C1orf112	1.37807	0.805756	-0.553986	-0.348351
1	-	27612064	27635277	ENSG00000000938.12	FGR	0.157046	1	-0.729153	0
1	+	196651878	196747504	ENSG00000000971.15	CFH	12.7902	0.84097	0.256757	-0.000814837
6	-	143494811	143511690	ENSG00000001036.13	FUCA2	48.4585	0.938337	0.00693046	-0.0586092
6	-	53497341	53616970	ENSG00000001084.10	GCLC	13.2676	0.989572	-0.199268	-0.0614762
6	+	41072945	41099976	ENSG00000001167.14	NFYA	9.58995	0.366206	-1.23222	-1.05495
1	-	24356999	24416934	ENSG00000001460.17	STPG1	3.47239	0.747372	-0.0399642	0.0806163
1	+	24415794	24472976	ENSG00000001461.16	NIPAL3	27.0303	0.96764	-0.0697509	-0.0201357
X	-	65512582	65534775	ENSG00000001497.16	LAS1L	16.7351	0.770079	-0.117743	-0.150729
6	+	46129993	46146699	ENSG00000001561.6	ENPP4	0.2552	1	0.576336	-0.0662211
3	+	50155045	50189075	ENSG00000001617.11	SEMA3F	3.09441	0.854369	0.0847574	-0.123743
7	+	117465784	117715971	ENSG00000001626.14	CFTR	0.00981537	1	-0.297002	0
7	+	92246234	92401384	ENSG00000001629.9	ANKIB1	55.0522	0.784979	-0.163089	-0.13101
7	-	92112151	92142952	ENSG00000001630.15	CYP51A1	59.7073	0.982876	-0.247436	-0.0397332
7	-	92198969	92246166	ENSG00000001631.15	KRIT1	19.9382	0.831909	-0.193186	-0.072382
12	-	912077	990053	ENSG00000002016.17	RAD52	2.93707	0.878138	0.150713	-0.00798921
11	-	64269830	64284704	ENSG00000002330.13	BAD	27.3458	0.982991	-0.0621771	-0.00857089
4	+	17577192	17607972	ENSG00000002549.12	LAP3	40.6897	0.938223	-0.0778599	-0.00990746
X	+	2691179	2741309	ENSG00000002586.18	CD99	239.608	1	-0.265281	0
4	-	11393150	11429765	ENSG00000002587.9	HS3ST1	0.0490848	1	-0.771476	0
7	+	150824627	150861504	ENSG00000002726.20	AOC1	0.0392614	1	0.0989213	0
7	+	121325367	121341104	ENSG00000002745.12	WNT16	2.63147	0.992951	-1.74418	0.00304166
7	+	43112599	43566001	ENSG00000002746.14	HECW1	2.62663	0.756735	-1.0014	-1.11501
7	-	1815793	2233243	ENSG00000002822.15	MAD1L1	11.789	0.780631	-0.0180655	-0.014938
17	+	38869859	38921770	ENSG00000002834.17	LASP1	347.598	0.994711	-0.149247	-0.0722953
17	+	48103357	48123074	ENSG00000002919.14	SNX11	11.3874	0.95696	-0.00406708	-0.0146081
7	+	150800403	150805120	ENSG00000002933.7	TMEM176A	14.1486	0.993026	-1.94577	-0.0244269
12	-	8940363	8949955	ENSG00000003056.7	M6PR	101.171	0.961658	-0.160881	0.0128588
X	-	117897813	118117340	ENSG00000003096.13	KLHL13	0.479132	0.982711	0.0929141	-0.00123446
2	-	72129238	72148038	ENSG00000003137.8	CYP26B1	3.90651	1	-1.15076	-0.00599534
7	-	8113184	8262687	ENSG00000003147.17	ICA1	0.0354257	0.997719	-0.657302	-0.000563019
16	-	90004865	90020128	ENSG00000003249.13	DBNDD1	0.765598	1	-0.980688	0
2	-	201700554	201781189	ENSG00000003393.14	ALS2	15.3027	0.489335	-0.0687836	-0.188075
2	+	201182881	201229406	ENSG00000003400.14	CASP10	1.01587	0.99362	0.630031	-0.0523088
2	+	201116104	201176687	ENSG00000003402.19	CFLAR	65.3921	0.960315	-0.0797988	-0.0138792
2	-	187464230	187565760	ENSG00000003436.14	TFPI	9.88584	0.968495	0.828553	-0.00442394
